"ID","明細ID","会計単位","経理区分","取引区分","起票日","借方科目ID","借方補助ID","借方補助整理","借方金額","貸方科目ID","貸方補助ID","貸方補助整理","貸方金額","摘要ID","コメント","元号","年","月","日","伝票確認","借方科目コード","貸方科目コード","決算終了","登録日","伝票番号","伝票連番","更新日","補助科目登録","印刷チェック"
36374,1931,1,3,1,2011/12/30 0:00:00,163,0,0,\1000000,114,0,0,\0,0,"当座預金補充","H",23,12,30,0,"10112","10102",1,2012/01/13 0:00:00,"H2312-0237",237,2012/02/03 0:00:00,,0
36375,1930,1,3,1,2011/12/30 0:00:00,114,0,0,\2500,7,0,0,\0,0,"12月分　一時保育料","H",23,12,30,0,"10102","01401",1,2012/01/13 0:00:00,"H2312-0236",236,2012/01/13 0:00:00,,0
36376,1929,1,3,1,2011/12/30 0:00:00,114,0,0,\24,12,0,0,\0,0,"定期利息","H",23,12,30,0,"10102","01901",1,2012/01/13 0:00:00,"H2312-0235",235,2012/01/13 0:00:00,,0
36377,1924,1,3,1,2011/12/28 0:00:00,114,0,0,\114030,6,0,0,\0,0,"12月分　神戸市運営費","H",23,12,28,0,"10102","01301",1,2012/01/13 0:00:00,"H2312-0230",230,2012/01/13 0:00:00,,0
36378,1926,1,3,1,2011/12/28 0:00:00,212,0,0,\329120,163,0,0,\0,0,"松田他　借地料","H",23,12,28,0,"13220","10112",1,2012/01/13 0:00:00,"H2312-0232",232,2012/01/13 0:00:00,,0
36379,1925,1,3,1,2011/12/28 0:00:00,60,0,0,\11295,114,0,0,\0,0,"12月分　ｶﾞｽ料金","H",23,12,28,0,"13308","10102",1,2012/01/13 0:00:00,"H2312-0231",231,2012/01/13 0:00:00,,0
36380,1927,1,3,1,2011/12/28 0:00:00,37,0,0,\3380,113,0,0,\0,0,"社保育園　書籍","H",23,12,28,0,"13203","10101",1,2012/01/13 0:00:00,"H2312-0233",233,2012/01/13 0:00:00,,0
36381,1928,1,3,1,2011/12/28 0:00:00,36,0,0,\7724,113,0,0,\0,0,"12月分　職員旅費","H",23,12,28,0,"13202","10101",1,2012/01/13 0:00:00,"H2312-0234",234,2012/01/13 0:00:00,,0
36382,1913,1,3,1,2011/12/27 0:00:00,60,0,0,\42606,114,0,0,\0,0,"12月分　電気料金","H",23,12,27,0,"13308","10102",1,2012/01/13 0:00:00,"H2312-0219",219,2012/01/13 0:00:00,,0
36383,1914,1,3,1,2011/12/27 0:00:00,60,0,0,\33466,114,0,0,\0,0,"12月分　電気料金(若草)","H",23,12,27,0,"13308","10102",1,2012/01/13 0:00:00,"H2312-0220",220,2012/01/13 0:00:00,,0
36384,1915,1,3,1,2011/12/27 0:00:00,44,0,0,\4840,114,0,0,\0,0,"ﾔﾌｰ使用料(若草)","H",23,12,27,0,"13210","10102",1,2012/01/13 0:00:00,"H2312-0221",221,2012/01/13 0:00:00,,0
36385,1917,1,3,1,2011/12/27 0:00:00,53,0,0,\532,113,0,0,\0,0,"MV　牛乳","H",23,12,27,0,"13301","10101",1,2012/01/13 0:00:00,"H2312-0223",223,2012/01/13 0:00:00,,0
36386,1916,1,3,1,2011/12/27 0:00:00,44,0,0,\5132,114,0,0,\0,0,"ﾔﾌｰ使用料","H",23,12,27,0,"13210","10102",1,2012/01/13 0:00:00,"H2312-0222",222,2012/01/13 0:00:00,,0
36387,1900,1,3,1,2011/12/26 0:00:00,60,0,0,\30504,114,0,0,\0,0,"水道料金(若草)","H",23,12,26,0,"13308","10102",1,2012/01/13 0:00:00,"H2312-0206",206,2012/01/13 0:00:00,,0
36388,1901,1,3,1,2011/12/26 0:00:00,60,0,0,\66966,114,0,0,\0,0,"水道料金","H",23,12,26,0,"13308","10102",1,2012/01/13 0:00:00,"H2312-0207",207,2012/01/13 0:00:00,,0
36389,1906,1,3,1,2011/12/26 0:00:00,54,0,0,\31500,163,0,0,\0,0,"ﾀｲﾖｳ物産　ﾘｷｯﾄﾞP他","H",23,12,26,0,"13302","10112",1,2012/01/13 0:00:00,"H2312-0212",212,2012/01/13 0:00:00,,0
36390,1902,1,3,1,2011/12/26 0:00:00,50,0,0,\14490,114,0,0,\0,0,"NTTﾌｧｲﾅﾝｽ","H",23,12,26,0,"13216","10102",1,2012/01/13 0:00:00,"H2312-0208",208,2012/01/13 0:00:00,,0
36391,1905,1,3,1,2011/12/26 0:00:00,58,0,0,\29150,163,0,0,\0,0,"ﾌﾚｰﾍﾞﾙ　ｺﾞｻﾞｼｰﾄ他","H",23,12,26,0,"13306","10112",1,2012/01/13 0:00:00,"H2312-0211",211,2012/01/13 0:00:00,,0
36392,1907,1,3,1,2011/12/26 0:00:00,62,0,0,\7560,163,0,0,\0,0,"ﾀｲﾖｳ物産　ｸﾛｽ","H",23,12,26,0,"13310","10112",1,2012/01/13 0:00:00,"H2312-0213",213,2012/01/13 0:00:00,,0
36393,1903,1,3,1,2011/12/26 0:00:00,114,0,0,\10300,7,0,0,\0,0,"12月分　一時保育料","H",23,12,26,0,"10102","01401",1,2012/01/13 0:00:00,"H2312-0209",209,2012/01/13 0:00:00,,0
36394,1909,1,3,1,2011/12/26 0:00:00,44,0,0,\2527,113,0,0,\0,0,"NTT回線使用料(若草)","H",23,12,26,0,"13210","10101",1,2012/01/13 0:00:00,"H2312-0215",215,2012/01/13 0:00:00,,0
36395,1908,1,3,1,2011/12/26 0:00:00,44,0,0,\2422,113,0,0,\0,0,"NTT回線使用料(若草)","H",23,12,26,0,"13210","10101",1,2012/01/13 0:00:00,"H2312-0214",214,2012/01/13 0:00:00,,0
36396,1904,1,3,1,2011/12/26 0:00:00,58,0,0,\13000,163,0,0,\0,0,"ﾌﾚｰﾍﾞﾙ　ﾌﾞﾗｯｸﾗｲﾄ","H",23,12,26,0,"13306","10112",1,2012/01/13 0:00:00,"H2312-0210",210,2012/01/13 0:00:00,,0
36397,1897,1,3,1,2011/12/22 0:00:00,58,0,0,\2500,113,0,0,\0,0,"小寺　講師料","H",23,12,22,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0203",203,2012/01/13 0:00:00,,0
36398,1894,1,3,1,2011/12/22 0:00:00,58,0,0,\12000,163,0,0,\0,0,"12月分　英語講師料","H",23,12,22,0,"13306","10112",1,2012/01/13 0:00:00,"H2312-0200",200,2012/01/13 0:00:00,,0
36399,1893,1,3,1,2011/12/22 0:00:00,43,0,0,\21000,163,0,0,\0,0,"ﾖｼﾀﾞ楽器　ﾋﾟｱﾉ調律","H",23,12,22,0,"13209","10112",1,2012/01/13 0:00:00,"H2312-0199",199,2012/01/13 0:00:00,,0
36400,1896,1,3,1,2011/12/22 0:00:00,47,0,0,\2730,113,0,0,\0,0,"環境施設事務組合　ｺﾞﾐ搬入","H",23,12,22,0,"13213","10101",1,2012/01/13 0:00:00,"H2312-0202",202,2012/01/13 0:00:00,,0
36401,1892,1,3,1,2011/12/22 0:00:00,47,0,0,\19240,114,0,0,\0,0,"環境施設事務組合　ｺﾞﾐ搬入","H",23,12,22,0,"13213","10102",1,2012/01/13 0:00:00,"H2312-0198",198,2012/01/13 0:00:00,,0
36402,1891,1,3,1,2011/12/22 0:00:00,37,0,0,\15000,114,0,0,\0,0,"井澤講師料","H",23,12,22,0,"13203","10102",1,2012/01/13 0:00:00,"H2312-0197",197,2012/01/13 0:00:00,,0
36403,1895,1,3,1,2011/12/22 0:00:00,45,0,0,\1263,113,0,0,\0,0,"ｾﾌﾞﾝｲﾚﾌﾞﾝ　菓子","H",23,12,22,0,"13211","10101",1,2012/01/13 0:00:00,"H2312-0201",201,2012/01/13 0:00:00,,0
36404,1883,1,3,1,2011/12/21 0:00:00,45,0,0,\564,113,0,0,\0,0,"ﾎﾞﾝﾏﾙｼｪ　角砂糖","H",23,12,21,0,"13211","10101",1,2012/01/13 0:00:00,"H2312-0189",189,2012/01/13 0:00:00,,0
36405,1881,1,3,1,2011/12/21 0:00:00,43,0,0,\1627500,163,0,0,\0,0,"内藤設計　耐震診断","H",23,12,21,0,"13209","10112",1,2012/01/13 0:00:00,"H2312-0187",187,2012/01/13 0:00:00,,0
36406,1882,1,3,1,2011/12/21 0:00:00,47,0,0,\18200,163,0,0,\0,0,"環境施設事務組合　ｺﾞﾐ搬入","H",23,12,21,0,"13213","10112",1,2012/01/13 0:00:00,"H2312-0188",188,2012/01/13 0:00:00,,0
36407,1865,1,3,1,2011/12/20 0:00:00,53,0,0,\16863,163,0,0,\0,0,"ｼｬﾄﾚｰｾﾞ　ｹｰｷ","H",23,12,20,0,"13301","10112",1,2012/01/13 0:00:00,"H2312-0171",171,2012/01/13 0:00:00,,0
36408,1871,1,3,1,2011/12/20 0:00:00,44,0,0,\2527,113,0,0,\0,0,"NTT回線使用料","H",23,12,20,0,"13210","10101",1,2012/01/13 0:00:00,"H2312-0177",177,2012/01/13 0:00:00,,0
36409,1866,1,3,1,2011/12/20 0:00:00,45,0,0,\1944,113,0,0,\0,0,"ﾎﾞﾝﾏﾙｼｪ　ｺｰﾋｰ","H",23,12,20,0,"13211","10101",1,2012/01/13 0:00:00,"H2312-0172",172,2012/01/13 0:00:00,,0
36410,1867,1,3,1,2011/12/20 0:00:00,44,0,0,\1890,113,0,0,\0,0,"GMOｲﾝﾀｰﾈｯﾄ","H",23,12,20,0,"13210","10101",1,2012/01/13 0:00:00,"H2312-0173",173,2012/01/13 0:00:00,,0
36411,1868,1,3,1,2011/12/20 0:00:00,44,0,0,\525,113,0,0,\0,0,"NTT回線使用料","H",23,12,20,0,"13210","10101",1,2012/01/13 0:00:00,"H2312-0174",174,2012/01/13 0:00:00,,0
36412,1870,1,3,1,2011/12/20 0:00:00,44,0,0,\2972,113,0,0,\0,0,"NTT回線使用料","H",23,12,20,0,"13210","10101",1,2012/01/13 0:00:00,"H2312-0176",176,2012/01/13 0:00:00,,0
36413,1872,1,3,1,2011/12/20 0:00:00,38,0,0,\284,113,0,0,\0,0,"ﾛｰｿﾝﾘﾁｳﾑ電池","H",23,12,20,0,"13204","10101",1,2012/01/13 0:00:00,"H2312-0178",178,2012/01/13 0:00:00,,0
36414,1869,1,3,1,2011/12/20 0:00:00,44,0,0,\2422,113,0,0,\0,0,"NTT回線使用料","H",23,12,20,0,"13210","10101",1,2012/01/13 0:00:00,"H2312-0175",175,2012/01/13 0:00:00,,0
36415,1852,1,3,1,2011/12/19 0:00:00,58,0,0,\29470,163,0,0,\0,0,"こどものとも社　ﾊﾟｽﾞﾙ","H",23,12,19,0,"13306","10112",1,2012/01/13 0:00:00,"H2312-0158",158,2012/01/13 0:00:00,,0
36416,1857,1,3,1,2011/12/19 0:00:00,48,0,0,\330,113,0,0,\0,0,"振込手数料","H",23,12,19,0,"13214","10101",1,2012/01/13 0:00:00,"H2312-0163",163,2012/01/13 0:00:00,,0
36417,1848,1,3,1,2011/12/19 0:00:00,58,0,0,\2656,114,0,0,\0,0,"ｸﾘｽﾏｽ会　ﾌﾞｰﾂ不足分","H",23,12,19,0,"13306","10102",1,2012/01/13 0:00:00,"H2312-0154",154,2012/01/13 0:00:00,,0
36418,1847,1,3,1,2011/12/19 0:00:00,58,0,0,\10000,114,0,0,\0,0,"12月分　音楽講師料","H",23,12,19,0,"13306","10102",1,2012/01/13 0:00:00,"H2312-0153",153,2012/01/13 0:00:00,,0
