"ID","明細ID","会計単位","経理区分","取引区分","起票日","借方科目ID","借方補助ID","借方補助整理","借方金額","貸方科目ID","貸方補助ID","貸方補助整理","貸方金額","摘要ID","コメント","元号","年","月","日","伝票確認","借方科目コード","貸方科目コード","決算終了","登録日","伝票番号","伝票連番","更新日","補助科目登録","印刷チェック"
5280,1,1,1,1,2009/04/01 0:00:00,48,0,0,\420,114,0,0,\0,0,"振込手数料","H",21,4,1,0,"13214","10102",1,2009/06/03 0:00:00,"H2104-0001",1,2010/07/06 0:00:00,,0
5281,2,1,1,1,2009/04/01 0:00:00,113,0,0,\100000,114,0,0,\0,0,"小口現金引出し","H",21,4,1,0,"10101","10102",1,2009/06/03 0:00:00,"H2104-0002",2,,,0
5282,8,1,1,1,2009/04/03 0:00:00,50,0,0,\15960,114,0,0,\0,0,"ｼｬｰﾌﾟ　","H",21,4,3,0,"13216","10102",1,2009/06/03 0:00:00,"H2104-0008",8,,,0
5283,9,1,1,1,2009/04/03 0:00:00,50,0,0,\39900,114,0,0,\0,0,"ｼｬｰﾌﾟ　ｺﾝﾋﾟｭｰﾀｰﾘｰｽ料","H",21,4,3,0,"13216","10102",1,2009/06/03 0:00:00,"H2104-0009",9,,,0
5284,10,1,1,1,2009/04/03 0:00:00,50,0,0,\42588,114,0,0,\0,0,"ｻﾝﾖｳ","H",21,4,3,0,"13216","10102",1,2009/06/03 0:00:00,"H2104-0010",10,,,0
5285,11,1,1,1,2009/04/06 0:00:00,44,0,0,\5787,114,0,0,\0,0,"ｿﾌﾄﾊﾞﾝｸ　ﾈｯﾄ使用料","H",21,4,6,0,"13210","10102",1,2009/06/03 0:00:00,"H2104-0011",11,2009/07/21 0:00:00,,0
5286,12,1,1,1,2009/04/08 0:00:00,113,0,0,\100000,114,0,0,\0,0,"小口現金引出し","H",21,4,8,0,"10101","10102",1,2009/06/03 0:00:00,"H2104-0012",12,,,0
5287,13,1,1,1,2009/04/08 0:00:00,53,0,0,\163611,114,0,0,\0,0,"給食代","H",21,4,8,0,"13301","10102",1,2009/06/03 0:00:00,"H2104-0013",13,,,0
5288,14,1,1,1,2009/04/08 0:00:00,69,0,0,\107750,114,0,0,\0,0,"園児保険","H",21,4,8,0,"13325","10102",1,2009/06/03 0:00:00,"H2104-0014",14,,,0
5289,20,1,1,1,2009/04/09 0:00:00,142,0,0,\78750,114,0,0,\0,0,"KIｼｽﾃﾑ　会計処理料","H",21,4,9,0,"11102","10102",1,2009/06/03 0:00:00,"H2104-0020",20,,,0
5290,21,1,1,1,2009/04/09 0:00:00,142,0,0,\10395,114,0,0,\0,0,"KIｼｽﾃﾑ　仕訳伝票","H",21,4,9,0,"11102","10102",1,2009/06/03 0:00:00,"H2104-0021",21,,,0
5291,28,1,1,1,2009/04/13 0:00:00,142,0,0,\1500000,114,0,0,\0,0,"定期預金","H",21,4,13,0,"11102","10102",1,2009/06/03 0:00:00,"H2104-0028",28,,,0
5292,29,1,1,1,2009/04/13 0:00:00,142,0,0,\1700000,114,0,0,\0,0,"定期預金","H",21,4,13,0,"11102","10102",1,2009/06/03 0:00:00,"H2104-0029",29,,,0
5293,30,1,1,1,2009/04/14 0:00:00,166,0,0,\61000,114,0,0,\0,0,"保育協会費","H",21,4,14,0,"13219","10102",1,2009/06/03 0:00:00,"H2104-0030",30,,,0
5294,32,1,1,1,2009/04/15 0:00:00,60,0,0,\18651,114,0,0,\0,0,"水道料金","H",21,4,15,0,"13308","10102",1,2009/06/03 0:00:00,"H2104-0032",32,,,0
5295,33,1,1,1,2009/04/16 0:00:00,114,0,0,\2559190,6,0,0,\0,0,"4月分　加古川市運営費","H",21,4,16,0,"10102","01301",1,2009/06/03 0:00:00,"H2104-0033",33,,,0
5296,34,1,1,1,2009/04/17 0:00:00,113,0,0,\100000,114,0,0,\0,0,"小口現金引出し","H",21,4,17,0,"10101","10102",1,2009/06/03 0:00:00,"H2104-0034",34,,,0
5297,35,1,1,1,2009/04/20 0:00:00,114,0,0,\58480,6,0,0,\0,0,"4月分　稲美町運営費","H",21,4,20,0,"10102","01301",1,2009/06/03 0:00:00,"H2104-0035",35,,,0
5298,41,1,1,1,2009/04/24 0:00:00,114,0,0,\184280,6,0,0,\0,0,"4月分　高砂市運営費","H",21,4,24,0,"10102","01301",1,2009/06/03 0:00:00,"H2104-0041",41,,,0
5299,42,1,1,1,2009/04/24 0:00:00,143,0,0,\70000,114,0,0,\0,0,"祝金支払い","H",21,4,24,0,"11103","10102",1,2009/06/03 0:00:00,"H2104-0042",42,,,0
5300,43,1,1,1,2009/04/24 0:00:00,171,0,0,\2113390,114,0,0,\0,0,"4月分　職員給与","H",21,4,24,0,"10113","10102",1,2009/06/03 0:00:00,"H2104-0043",43,,,0
5301,52,1,1,1,2009/04/27 0:00:00,53,0,0,\9000,114,0,0,\0,0,"購買代金","H",21,4,27,0,"13301","10102",1,2009/06/03 0:00:00,"H2104-0052",52,,,0
5302,53,1,1,1,2009/04/27 0:00:00,60,0,0,\43422,114,0,0,\0,0,"電気料金","H",21,4,27,0,"13308","10102",1,2009/06/03 0:00:00,"H2104-0053",53,,,0
5303,54,1,1,1,2009/04/27 0:00:00,50,0,0,\3045,114,0,0,\0,0,"ｿﾆｰﾌｧｲﾅﾝｽ","H",21,4,27,0,"13216","10102",1,2009/06/03 0:00:00,"H2104-0054",54,2009/07/21 0:00:00,,0
5304,55,1,1,1,2009/04/28 0:00:00,114,0,0,\70000,143,0,0,\0,0,"兵庫県より祝金","H",21,4,28,0,"10102","11103",1,2009/06/03 0:00:00,"H2104-0055",55,,,0
5305,56,1,1,1,2009/04/30 0:00:00,44,0,0,\2528,114,0,0,\0,0,"電話料金","H",21,4,30,0,"13210","10102",1,2009/06/03 0:00:00,"H2104-0056",56,,,0
5306,57,1,1,1,2009/04/30 0:00:00,44,0,0,\12102,114,0,0,\0,0,"電話料金","H",21,4,30,0,"13210","10102",1,2009/06/03 0:00:00,"H2104-0057",57,,,0
5307,58,1,1,1,2009/04/30 0:00:00,60,0,0,\2100,114,0,0,\0,0,"ｶﾞｽ料金","H",21,4,30,0,"13308","10102",1,2009/06/03 0:00:00,"H2104-0058",58,,,0
5308,59,1,1,1,2009/04/30 0:00:00,34,0,0,\85730,114,0,0,\0,0,"労働保険料支払い","H",21,4,30,0,"13107","10102",1,2009/06/03 0:00:00,"H2104-0059",59,,,0
5309,3,1,1,1,2009/04/01 0:00:00,142,0,0,\9050,113,0,0,\0,0,"3月分　ｶﾞｽ料金","H",21,4,1,0,"11102","10101",1,2009/06/03 0:00:00,"H2104-0003",3,,,0
5310,4,1,1,1,2009/04/01 0:00:00,53,0,0,\23100,113,0,0,\0,0,"饅頭","H",21,4,1,0,"13301","10101",1,2009/06/03 0:00:00,"H2104-0004",4,,,0
