"科目ID","科目","科目よみ","補助科目あり","大区分ID","整理番号","前期繰越","前々期繰越","貸借区分","使用区分","振替対象","予算","整列順","科目コード","大区分コード","整列コード","前年度予算","補正予算","仕訳伝票印刷対象","印刷","test","代替科目コード","代替科目番号"
1,"介護福祉施設介護料収入","かいごふくししせつかいごりょうしゅうにゅう",0,1,1,\0,\0,"借+",1,,\0,1,"01001","010","01",\0,,1,0,,,
2,"利用料収入","りようりょうしゅうにゅう",0,2,1,\0,\0,"借+",1,,\0,6,"01101","011","01",\0,,1,0,,,
3,"利用者負担金収入","りようしゃふたんきんしゅうにゅう",0,2,2,\0,\0,"借+",1,,\0,7,"01102","011","02",\0,,1,0,,,
4,"事務費収入","じむひしゅうにゅう",0,3,1,\0,\0,"借+",1,,\0,8,"01201","012","01",\0,,1,0,,,
5,"事業費収入","じぎょうひしゅうにゅう",0,3,2,\0,\0,"借+",1,,\0,9,"01202","012","02",\0,,1,0,,,
6,"運営費収入","うんえいひしゅうにゅう",0,4,1,\0,\0,"借+",0,,\37135000,10,"01301","013","01",\7000,,1,0,,,
7,"私的契約利用料収入","してきけいやくりようりょう",0,5,1,\0,\0,"借+",0,,\0,11,"01401","014","01",\0,,1,0,,,
8,"経常経費補助金収入","けいじょうけいひほじょきんしゅうにゅう",0,6,1,\0,\0,"借+",0,,\7000000,12,"01501","015","01",\2768000,,1,0,,,
9,"寄附金収入","きふきんしゅうにゅう",1,7,1,\0,\0,"借+",0,,\0,13,"01601","016","01",\0,,1,0,,,
10,"雑収入","ざつしゅうにゅう",0,8,1,\0,\0,"借+",0,,\5000,14,"01701","017","01",-\1000,,1,0,,,
11,"借入金利息補助金収入","かりいれきんりそくほじょきんしゅうにゅう",0,9,1,\0,\0,"借+",0,,\0,15,"01801","018","01",\0,,1,0,,,
12,"受取利息配当金収入","うけとりりそくはいとうきんしゅうにゅう",0,10,1,\0,\0,"借+",0,,\37000,16,"01901","019","01",\1000,,1,0,,,
13,"公益事業会計繰入金収入","こうえきじぎょうくりいれきんしゅうにゅう",0,11,1,\0,\0,"借+",1,,\0,17,"02001","020","01",\0,,1,0,,,
14,"収益事業会計繰入金収入","しゅうえきじぎょうかいけいくりいれきん",0,11,2,\0,\0,"借+",1,,\0,18,"02002","020","02",\0,,1,0,,,
15,"経理区分間繰入金収入","けいりくぶんかんくりいれきんしゅうにゅう",0,12,1,\0,\0,"借+",0,,\0,19,"02101","021","01",\0,,1,0,,,
16,"施設整備補助金収入","しせつせいびほじょきんしゅうにゅう",0,13,1,\0,\0,"借+",0,,\0,20,"03101","031","01",\0,,1,0,,,
17,"設備整備補助金収入","せつびせいびほじょきんしゅうにゅう",0,13,2,\0,\0,"借+",0,"貸方",\0,21,"03102","031","02",\0,,1,0,,,
18,"施設整備等寄附金収入","しせつせいびとうきふきんしゅうにゅう",0,14,1,\0,\0,"借+",0,,\0,22,"03201","032","01",\0,,1,0,,,
19,"施設整備等借入金償還寄附金収入","しせつせいびとうかりいれきんしょうかんきふきんしゅうにゅう",0,14,2,\0,\0,"借+",0,"貸方",\0,23,"03202","032","02",\0,,1,0,,,
20,"器具及び備品売却収入","きぐおよびびひんばいきゃくしゅうにゅう",0,15,1,\0,\0,"借+",0,,\0,24,"03301","033","01",\0,,1,0,,,
21,"車両運搬具売却収入","しゃりょううんぱんぐばいきゃくしゅうにゅう",0,15,2,\0,\0,"借+",1,"貸方",\0,25,"03302","033","02",\0,,1,0,,,
22,"設備資金借入金収入","せつびしきんかりいれきんしゅうにゅう",0,16,1,\0,\0,"借+",0,"貸方",\0,26,"04101","041","01",\0,,1,0,,,
23,"長期運営資金借入金収入","ちょうきうんえいしきんかりいれきんしゅうにゅう",0,16,2,\0,\0,"借+",0,,\0,27,"04102","041","02",\0,,1,0,,,
24,"投資有価証券売却収入","とうしゆうかしょうけんばいきゃくしゅうにゅう",0,17,1,\0,\0,"借+",1,,\0,28,"04201","042","01",\0,,1,0,,,
25,"借入金元金償還補助金収入","かりいれきんもときんしょうかんほじょきんしゅうにゅう",0,18,1,\0,\0,"借+",0,,\0,29,"04301","043","01",\0,,1,0,,,
26,"移行時特別積立預金取崩収入","いこうじとくべつつみたてよきんとりくずししゅうにゅう",0,19,1,\0,\0,"借+",1,,\0,35,"04406","044","01",\0,,1,0,,,
27,"長期貸付金回収収入","ちょうきかしつけきんかいしゅうしゅうにゅう",0,20,1,\0,\0,"借+",1,,\0,36,"04501","045","01",\0,,1,0,,,
28,"役員報酬","やくいんほうしゅう",0,21,1,\0,\0,"借+",1,,\0,98,"13101","131","01",\0,,1,0,,,
29,"職員俸給","しょうくいんほうきゅう",0,21,2,\0,\0,"借+",0,,\25085000,99,"13102","131","02",\0,,1,0,,,
30,"職員諸手当","しょくいんしょてあて",0,21,3,\0,\0,"借+",0,,\10315000,100,"13103","131","03",\1670000,,1,0,,,
31,"非常勤職員給与","ひじょうきんしょくいんきゅうよ",0,21,4,\0,\0,"借+",0,,\3395000,101,"13104","131","04",\580000,,1,0,,,
32,"退職金","たいしょくきん",0,21,5,\0,\0,"借+",0,,\0,102,"13105","131","05",\0,,1,0,,,
33,"退職共済掛金","たいしょくきょうさいかけきん",0,21,6,\0,\0,"借+",0,,\450000,103,"13106","131","06",\0,,1,0,,,
34,"法定福利費","ほうていふくりひ",0,21,7,\0,\0,"借+",0,,\3850000,104,"13107","131","07",-\25000,,1,0,,,
35,"福利厚生費","ふくりこうせいひ",0,22,8,\0,\0,"借+",0,,\150000,105,"13201","132","01",-\45000,,1,0,,,
36,"旅費交通費","りょひこうつうひ",0,22,1,\0,\0,"借+",0,,\50000,106,"13202","132","02",\0,,1,0,,,
37,"研修費","けんしゅうひ",0,22,2,\0,\0,"借+",0,,\50000,107,"13203","132","03",\20000,,1,0,,,
38,"消耗品費","しょうもうひんひ（じむひししゅつ）",0,22,3,\0,\0,"借+",0,,\160000,108,"13204","132","04",\20000,,1,0,,,
39,"器具什器費","きぐじゅうきひ（じむひししゅつ）",0,22,4,\0,\0,"借+",0,,\510000,109,"13205","132","05",\30000,,1,0,,,
40,"印刷製本費","いんさつせいほんひ",0,22,5,\0,\0,"借+",0,,\10000,110,"13206","132","06",\0,,1,0,,,
41,"水道光熱費","すいどうこうねつひ",0,22,6,\0,\0,"借+",0,,\80000,111,"13207","132","07",\0,,1,0,,,
42,"燃料費","ねんりょうひ（じむひししゅつ）",0,22,7,\0,\0,"借+",0,,\25000,112,"13208","132","08",\5000,,1,0,,,
