"繰越ID","経理区分","年度","科目ID","前期繰越額","貸借区分"
6355,0,,1,\0,"借+"
6356,1,,1,\0,"借+"
6357,2,,1,\0,"借+"
6358,3,,1,\0,"借+"
6359,0,,2,\0,"借+"
6360,1,,2,\0,"借+"
6361,2,,2,\0,"借+"
6362,3,,2,\0,"借+"
6363,0,,3,\0,"借+"
6364,1,,3,\0,"借+"
6365,2,,3,\0,"借+"
6366,3,,3,\0,"借+"
6367,0,,4,\0,"借+"
6368,1,,4,\0,"借+"
6369,2,,4,\0,"借+"
6370,3,,4,\0,"借+"
6371,0,,5,\0,"借+"
6372,1,,5,\0,"借+"
6373,2,,5,\0,"借+"
6374,3,,5,\0,"借+"
6375,0,,6,\0,"借+"
6376,1,,6,\0,"借+"
6377,2,,6,\0,"借+"
6378,3,,6,\0,"借+"
6379,0,,7,\0,"借+"
6380,1,,7,\0,"借+"
6381,2,,7,\0,"借+"
6382,3,,7,\0,"借+"
6383,0,,8,\0,"借+"
6384,1,,8,\0,"借+"
6385,2,,8,\0,"借+"
6386,3,,8,\0,"借+"
6387,0,,9,\0,"借+"
6388,1,,9,\0,"借+"
6389,2,,9,\0,"借+"
6390,3,,9,\0,"借+"
6391,0,,10,\0,"借+"
6392,1,,10,\0,"借+"
6393,2,,10,\0,"借+"
6394,3,,10,\0,"借+"
6395,0,,11,\0,"借+"
6396,1,,11,\0,"借+"
6397,2,,11,\0,"借+"
6398,3,,11,\0,"借+"
6399,0,,12,\0,"借+"
6400,1,,12,\0,"借+"
6401,2,,12,\0,"借+"
6402,3,,12,\0,"借+"
6403,0,,13,\0,"借+"
6404,1,,13,\0,"借+"
6405,2,,13,\0,"借+"
6406,3,,13,\0,"借+"
6407,0,,14,\0,"借+"
6408,1,,14,\0,"借+"
6409,2,,14,\0,"借+"
6410,3,,14,\0,"借+"
6411,0,,15,\0,"借+"
6412,1,,15,\0,"借+"
6413,2,,15,\0,"借+"
6414,3,,15,\0,"借+"
6415,0,,16,\0,"借+"
6416,1,,16,\0,"借+"
6417,2,,16,\0,"借+"
6418,3,,16,\0,"借+"
6419,0,,17,\0,"借+"
6420,1,,17,\0,"借+"
6421,2,,17,\0,"借+"
6422,3,,17,\0,"借+"
6423,0,,18,\0,"借+"
6424,1,,18,\0,"借+"
6425,2,,18,\0,"借+"
6426,3,,18,\0,"借+"
6427,0,,19,\0,"借+"
6428,1,,19,\0,"借+"
6429,2,,19,\0,"借+"
6430,3,,19,\0,"借+"
6431,0,,20,\0,"借+"
6432,1,,20,\0,"借+"
6433,2,,20,\0,"借+"
6434,3,,20,\0,"借+"
6435,0,,21,\0,"借+"
6436,1,,21,\0,"借+"
6437,2,,21,\0,"借+"
6438,3,,21,\0,"借+"
6439,0,,22,\0,"借+"
6440,1,,22,\0,"借+"
6441,2,,22,\0,"借+"
6442,3,,22,\0,"借+"
6443,0,,23,\0,"借+"
6444,1,,23,\0,"借+"
6445,2,,23,\0,"借+"
6446,3,,23,\0,"借+"
6447,0,,24,\0,"借+"
6448,1,,24,\0,"借+"
6449,2,,24,\0,"借+"
6450,3,,24,\0,"借+"
6451,0,,25,\0,"借+"
6452,1,,25,\0,"借+"
6453,2,,25,\0,"借+"
6454,3,,25,\0,"借+"
6455,0,,26,\0,"借+"
6456,1,,26,\0,"借+"
6457,2,,26,\0,"借+"
6458,3,,26,\0,"借+"
6459,0,,27,\0,"借+"
6460,1,,27,\0,"借+"
6461,2,,27,\0,"借+"
6462,3,,27,\0,"借+"
6463,0,,28,\0,"借+"
6464,1,,28,\0,"借+"
6465,2,,28,\0,"借+"
6466,3,,28,\0,"借+"
6467,0,,29,\0,"借+"
6468,1,,29,\0,"借+"
6469,2,,29,\0,"借+"
6470,3,,29,\0,"借+"
6471,0,,30,\0,"借+"
6472,1,,30,\0,"借+"
6473,2,,30,\0,"借+"
6474,3,,30,\0,"借+"
6475,0,,31,\0,"借+"
6476,1,,31,\0,"借+"
6477,2,,31,\0,"借+"
6478,3,,31,\0,"借+"
6479,0,,32,\0,"借+"
6480,1,,32,\0,"借+"
6481,2,,32,\0,"借+"
6482,3,,32,\0,"借+"
6483,0,,33,\0,"借+"
6484,1,,33,\0,"借+"
6485,2,,33,\0,"借+"
6486,3,,33,\0,"借+"
6487,0,,34,\0,"借+"
6488,1,,34,\0,"借+"
6489,2,,34,\0,"借+"
6490,3,,34,\0,"借+"
6491,0,,35,\0,"借+"
6492,1,,35,\0,"借+"
6493,2,,35,\0,"借+"
6494,3,,35,\0,"借+"
6495,0,,36,\0,"借+"
6496,1,,36,\0,"借+"
