"繰越ID","経理区分","年度","科目ID","前期繰越額","貸借区分"
5275,0,,1,\0,"借+"
5276,0,,2,\0,"借+"
5277,0,,3,\0,"借+"
5278,0,,4,\0,"借+"
5279,0,,5,\0,"借+"
5280,0,,6,\0,"借+"
5281,0,,7,\0,"借+"
5282,0,,8,\0,"借+"
5283,0,,9,\0,"借+"
5284,0,,10,\0,"借+"
5285,0,,11,\0,"借+"
5286,0,,12,\0,"借+"
5287,0,,13,\0,"借+"
5288,0,,14,\0,"借+"
5289,0,,15,\0,"借+"
5290,0,,16,\0,"借+"
5291,0,,17,\0,"借+"
5292,0,,18,\0,"借+"
5293,0,,19,\0,"借+"
5294,0,,20,\0,"借+"
5295,0,,21,\0,"借+"
5296,0,,22,\0,"借+"
5297,0,,23,\0,"借+"
5298,0,,24,\0,"借+"
5299,0,,25,\0,"借+"
5300,0,,26,\0,"借+"
5301,0,,27,\0,"借+"
5302,0,,28,\0,"借+"
5303,0,,29,\0,"借+"
5304,0,,30,\0,"借+"
5305,0,,31,\0,"借+"
5306,0,,32,\0,"借+"
5307,0,,33,\0,"借+"
5308,0,,34,\0,"借+"
5309,0,,35,\0,"借+"
5310,0,,36,\0,"借+"
5311,0,,37,\0,"借+"
5312,0,,38,\0,"借+"
5313,0,,39,\0,"借+"
5314,0,,40,\0,"借+"
5315,0,,41,\0,"借+"
5316,0,,42,\0,"借+"
5317,0,,43,\0,"借+"
5318,0,,44,\0,"借+"
5319,0,,45,\0,"借+"
5320,0,,46,\0,"借+"
5321,0,,47,\0,"借+"
5322,0,,48,\0,"借+"
5323,0,,49,\0,"借+"
5324,0,,50,\0,"借+"
5325,0,,51,\0,"借+"
5326,0,,52,\0,"借+"
5327,0,,53,\0,"借+"
5328,0,,54,\0,"借+"
5329,0,,55,\0,"借+"
5330,0,,56,\0,"借+"
5331,0,,57,\0,"借+"
5332,0,,58,\0,"借+"
5333,0,,59,\0,"借+"
5334,0,,60,\0,"借+"
5335,0,,61,\0,"借+"
5336,0,,62,\0,"借+"
5337,0,,63,\0,"借+"
5338,0,,64,\0,"借+"
5339,0,,65,\0,"借+"
5340,0,,66,\0,"借+"
5341,0,,67,\0,"借+"
5342,0,,68,\0,"借+"
5343,0,,69,\0,"借+"
5344,0,,70,\0,"借+"
5345,0,,71,\0,"借+"
5346,0,,72,\0,"借+"
5347,0,,73,\0,"借+"
5348,0,,74,\0,"借+"
5349,0,,75,\0,"借+"
5350,0,,76,\0,"借+"
5351,0,,77,\0,"借+"
5352,0,,78,\0,"借+"
5353,0,,79,\0,"借+"
5354,0,,80,\0,"借+"
5355,0,,81,\0,"借+"
5356,0,,82,\0,"借+"
5357,0,,83,\0,"借+"
5358,0,,84,\0,"借+"
5359,0,,86,\0,"借+"
5360,0,,87,\0,"借+"
5361,0,,88,\0,"借+"
5362,0,,89,\0,"借+"
5363,0,,90,\0,"借+"
5364,0,,91,\0,"借+"
5365,0,,92,\0,"借+"
5366,0,,93,\0,"借+"
5367,0,,94,\0,"借+"
5368,0,,95,\0,"借+"
5369,0,,96,\0,"借+"
5370,0,,97,\0,"借+"
5371,0,,98,\0,"借+"
5372,0,,99,\0,"借+"
5373,0,,100,\0,"借+"
5374,0,,101,\0,"借+"
5375,0,,102,\0,"借+"
5376,0,,103,\0,"借+"
5377,0,,104,\0,"借+"
5378,0,,105,\0,"借+"
5379,0,,106,\0,"借+"
5380,0,,107,\0,"借+"
5381,0,,108,\0,"借+"
5382,0,,109,\0,"借+"
5383,0,,110,\0,"借+"
5384,0,,111,\0,"借+"
5385,0,,112,\0,"借+"
5386,0,,113,\0,"借+"
5387,0,,114,\728,"借+"
5388,0,,115,\0,"借+"
5389,0,,116,\0,"借+"
5390,0,,117,\0,"借+"
5391,0,,118,\0,"借+"
5392,0,,119,\0,"借+"
5393,0,,120,\0,"借+"
5394,0,,121,\0,"借+"
5395,0,,122,\0,"借+"
5396,0,,123,\0,"借+"
5397,0,,124,\7990000,"借+"
5398,0,,125,\0,"借+"
5399,0,,126,\0,"借+"
5400,0,,127,\0,"借+"
5401,0,,128,\0,"借+"
5402,0,,129,\0,"借+"
5403,0,,130,\0,"借+"
5404,0,,131,\0,"借+"
5405,0,,132,\0,"借+"
5406,0,,133,\0,"借+"
5407,0,,134,\0,"借+"
5408,0,,135,\0,"借+"
5409,0,,136,\0,"借+"
5410,0,,137,\0,"借+"
5411,0,,138,\0,"借+"
5412,0,,139,\0,"借+"
5413,0,,140,\0,"借+"
5414,0,,141,\0,"貸+"
5415,0,,142,\0,"貸+"
5416,0,,143,\0,"貸+"
5417,0,,144,\0,"貸+"
5418,0,,145,\0,"貸+"
5419,0,,146,\0,"貸+"
5420,0,,147,\0,"貸+"
5421,0,,148,\0,"貸+"
5422,0,,149,\0,"貸+"
5423,0,,150,\0,"貸+"
5424,0,,151,\0,"貸+"
5425,0,,152,\7990000,"貸+"
5426,0,,153,\0,"貸+"
5427,0,,154,\0,"貸+"
5428,0,,155,\728,"貸+"
5429,0,,156,\0,"借+"
5430,0,,157,\0,"貸+"
5431,0,,159,\0,"借+"
5432,0,,161,\0,"借+"
5433,0,,162,\0,"借+"
5434,0,,163,\0,"借+"
5435,0,,165,\0,"借+"
5436,0,,166,\0,"借+"
5437,0,,167,\0,"借+"
5438,0,,168,\0,"借+"
5439,0,,169,\0,"借+"
5440,0,,170,\0,"借+"
5441,0,,171,\0,"借+"
5442,0,,172,\0,"貸+"
5443,0,,173,\0,"貸+"
5444,0,,174,\0,"借+"
5445,0,,175,\0,"借+"
5446,0,,176,\0,"貸+"
5447,0,,177,\0,"貸+"
5448,0,,178,\0,"貸+"
5449,0,,187,\0,"借+"
5450,0,,188,\0,"借+"
5451,0,,189,\0,"借+"
5452,0,,190,\0,"借+"
5453,0,,191,\0,"借+"
5454,0,,192,\0,"借+"
5455,0,,193,\0,"借+"
5456,0,,194,\0,"借+"
5457,0,,195,\0,"借+"
5458,0,,196,\0,"借+"
5459,0,,197,\0,"借+"
5460,0,,198,\0,"貸+"
5461,0,,199,\0,"借+"
5462,0,,200,\0,"借+"
5463,0,,201,\0,"借+"
5464,0,,202,\0,"借+"
5465,0,,203,\0,"借+"
5466,0,,204,\0,"借+"
5467,0,,205,\0,"借+"
5468,0,,206,\0,"借+"
5469,0,,207,\0,"借+"
5470,0,,208,\0,"借+"
5471,0,,209,\0,"借+"
5472,0,,210,\0,"借+"
5473,0,,211,\0,"借+"
5474,0,,212,\0,"借+"
5475,0,,213,\0,"借+"
5476,0,,214,\0,"借+"
5477,0,,215,\0,"借+"
5478,1,,1,\0,"借+"
5479,1,,2,\0,"借+"
5480,1,,3,\0,"借+"
5481,1,,4,\0,"借+"
5482,1,,5,\0,"借+"
5483,1,,6,\0,"借+"
5484,1,,7,\0,"借+"
5485,1,,8,\0,"借+"
5486,1,,9,\0,"借+"
5487,1,,10,\0,"借+"
5488,1,,11,\0,"借+"
5489,1,,12,\0,"借+"
5490,1,,13,\0,"借+"
5491,1,,14,\0,"借+"
5492,1,,15,\0,"借+"
5493,1,,16,\0,"借+"
5494,1,,17,\0,"借+"
5495,1,,18,\0,"借+"
5496,1,,19,\0,"借+"
5497,1,,20,\0,"借+"
5498,1,,21,\0,"借+"
5499,1,,22,\0,"借+"
5500,1,,23,\0,"借+"
5501,1,,24,\0,"借+"
5502,1,,25,\0,"借+"
5503,1,,26,\0,"借+"
5504,1,,27,\0,"借+"
5505,1,,28,\0,"借+"
5506,1,,29,\0,"借+"
5507,1,,30,\0,"借+"
5508,1,,31,\0,"借+"
5509,1,,32,\0,"借+"
5510,1,,33,\0,"借+"
5511,1,,34,\0,"借+"
5512,1,,35,\0,"借+"
5513,1,,36,\0,"借+"
5514,1,,37,\0,"借+"
5515,1,,38,\0,"借+"
5516,1,,39,\0,"借+"
5517,1,,40,\0,"借+"
5518,1,,41,\0,"借+"
5519,1,,42,\0,"借+"
5520,1,,43,\0,"借+"
5521,1,,44,\0,"借+"
5522,1,,45,\0,"借+"
5523,1,,46,\0,"借+"
5524,1,,47,\0,"借+"
5525,1,,48,\0,"借+"
5526,1,,49,\0,"借+"
5527,1,,50,\0,"借+"
5528,1,,51,\0,"借+"
5529,1,,52,\0,"借+"
5530,1,,53,\0,"借+"
5531,1,,54,\0,"借+"
5532,1,,55,\0,"借+"
5533,1,,56,\0,"借+"
5534,1,,57,\0,"借+"
5535,1,,58,\0,"借+"
5536,1,,59,\0,"借+"
5537,1,,60,\0,"借+"
5538,1,,61,\0,"借+"
5539,1,,62,\0,"借+"
5540,1,,63,\0,"借+"
5541,1,,64,\0,"借+"
5542,1,,65,\0,"借+"
5543,1,,66,\0,"借+"
5544,1,,67,\0,"借+"
5545,1,,68,\0,"借+"
5546,1,,69,\0,"借+"
5547,1,,70,\0,"借+"
5548,1,,71,\0,"借+"
5549,1,,72,\0,"借+"
5550,1,,73,\0,"借+"
5551,1,,74,\0,"借+"
5552,1,,75,\0,"借+"
5553,1,,76,\0,"借+"
5554,1,,77,\0,"借+"
5555,1,,78,\0,"借+"
5556,1,,79,\0,"借+"
5557,1,,80,\0,"借+"
5558,1,,81,\0,"借+"
5559,1,,82,\0,"借+"
5560,1,,83,\0,"借+"
5561,1,,84,\0,"借+"
5562,1,,86,\0,"借+"
5563,1,,87,\0,"借+"
5564,1,,88,\0,"借+"
5565,1,,89,\0,"借+"
5566,1,,90,\0,"借+"
5567,1,,91,\0,"借+"
5568,1,,92,\0,"借+"
5569,1,,93,\0,"借+"
5570,1,,94,\0,"借+"
5571,1,,95,\0,"借+"
5572,1,,96,\0,"借+"
5573,1,,97,\0,"借+"
5574,1,,98,\0,"借+"
5575,1,,99,\0,"借+"
5576,1,,100,\0,"借+"
5577,1,,101,\0,"借+"
5578,1,,102,\0,"借+"
5579,1,,103,\0,"借+"
5580,1,,104,\0,"借+"
5581,1,,105,\0,"借+"
5582,1,,106,\0,"借+"
5583,1,,107,\0,"借+"
5584,1,,108,\0,"借+"
5585,1,,109,\0,"借+"
5586,1,,110,\0,"借+"
5587,1,,111,\0,"借+"
5588,1,,112,\0,"借+"
5589,1,,113,\92535,"借+"
5590,1,,114,\1331835,"借+"
5591,1,,115,\0,"借+"
5592,1,,116,\7883000,"借+"
5593,1,,117,\0,"借+"
5594,1,,118,\0,"借+"
5595,1,,119,\0,"借+"
5596,1,,120,\0,"借+"
5597,1,,121,\0,"借+"
5598,1,,122,\0,"借+"
5599,1,,123,\15396066,"借+"
5600,1,,124,\0,"借+"
5601,1,,125,\0,"借+"
5602,1,,126,\2584323,"借+"
5603,1,,127,\0,"借+"
5604,1,,128,\0,"借+"
5605,1,,129,\1,"借+"
5606,1,,130,\2176759,"借+"
5607,1,,131,\0,"借+"
5608,1,,132,\0,"借+"
5609,1,,133,\0,"借+"
5610,1,,134,\0,"借+"
5611,1,,135,\0,"借+"
5612,1,,136,\0,"借+"
5613,1,,137,\0,"借+"
5614,1,,138,\3500000,"借+"
5615,1,,139,\0,"借+"
5616,1,,140,\0,"借+"
5617,1,,141,\0,"貸+"
5618,1,,142,\5155301,"貸+"
5619,1,,143,\102441,"貸+"
5620,1,,144,\0,"貸+"
5621,1,,145,\0,"貸+"
5622,1,,146,\0,"貸+"
5623,1,,147,\0,"貸+"
5624,1,,148,\0,"貸+"
5625,1,,149,\0,"貸+"
5626,1,,150,\0,"貸+"
5627,1,,151,\0,"貸+"
5628,1,,152,\7118500,"貸+"
5629,1,,153,\11118794,"貸+"
5630,1,,154,\0,"貸+"
5631,1,,155,\5969483,"貸+"
5632,1,,156,\0,"借+"
5633,1,,157,\1000000,"貸+"
5634,1,,159,\1000000,"借+"
5635,1,,161,\0,"借+"
5636,1,,162,\0,"借+"
5637,1,,163,\0,"借+"
5638,1,,165,\0,"借+"
5639,1,,166,\0,"借+"
5640,1,,167,\0,"借+"
5641,1,,168,\0,"借+"
5642,1,,169,\0,"借+"
5643,1,,170,\0,"借+"
5644,1,,171,\0,"借+"
5645,1,,172,\0,"貸+"
5646,1,,173,\0,"貸+"
5647,1,,174,\0,"借+"
5648,1,,175,\0,"借+"
5649,1,,176,\0,"貸+"
5650,1,,177,\0,"貸+"
5651,1,,178,\0,"貸+"
5652,1,,187,\0,"借+"
5653,1,,188,\0,"借+"
5654,1,,189,\0,"借+"
5655,1,,190,\0,"借+"
5656,1,,191,\0,"借+"
5657,1,,192,\0,"借+"
5658,1,,193,\0,"借+"
5659,1,,194,\0,"借+"
5660,1,,195,\0,"借+"
5661,1,,196,\0,"借+"
5662,1,,197,\0,"借+"
5663,1,,198,\3500000,"貸+"
5664,1,,199,\0,"借+"
5665,1,,200,\0,"借+"
5666,1,,201,\0,"借+"
5667,1,,202,\0,"借+"
5668,1,,203,\0,"借+"
5669,1,,204,\0,"借+"
5670,1,,205,\0,"借+"
5671,1,,206,\0,"借+"
5672,1,,207,\0,"借+"
5673,1,,208,\0,"借+"
5674,1,,209,\0,"借+"
5675,1,,210,\0,"借+"
5676,1,,211,\0,"借+"
5677,1,,212,\0,"借+"
5678,1,,213,\0,"借+"
5679,1,,214,\0,"借+"
5680,1,,215,\0,"借+"
